"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"VarNumSpdPks",22,24,27,26,26,25,25,25,23,24,9,29,26,25,28,20,28,30,23,23,29,26,24,24,25,26
"VarMaxPD",16,13,15,18,15,16,19,17,48,14,21,15,19,15,20,11,20,20,13,15,20,16,14,13,16,15
"VarPMTD",17,9,16,19,17,10,14,14,5,7,13,11,14,16,12,18,11,11,17,10,12,12,8,16,10,10
"VarMAPR",9,15,8,7,6,14,8,6,2,8,11,7,5,10,5,10,5,5,8,11,5,5,9,8,9,9
"age",3,6,6,6,9,3,5,5,9,5,3,5,6,4,6,5,6,7,5,3,6,6,5,7,3,3
"height",26,7,12,11,16,19,11,7,8,18,23,12,10,18,11,19,13,13,16,19,11,10,6,25,18,18
"mass",18,27,26,22,23,21,21,26,11,26,26,26,13,26,22,24,23,25,19,21,26,24,20,27,22,23
"monthspost",1,2,4,4,2,2,4,4,15,2,2,4,4,2,4,2,4,4,4,2,4,4,2,9,2,2
"sex",51,51,51,51,51,51,51,51,51,51,50,52,51,51,51,52,52,51,51,51,51,51,51,50,51,51
"dominant",53,53,53,53,53,53,53,53,53,52,53,54,53,53,53,53,53,53,52,53,53,53,53,53,53,53
"affected",52,52,52,52,52,52,52,52,52,53,52,51,52,52,52,51,51,52,53,52,52,52,52,52,52,52
"same",31,32,31,30,29,30,30,20,18,37,30,20,32,28,29,21,27,28,30,28,30,28,30,18,29,28
"sttype",49,50,49,49,50,49,49,49,49,50,51,49,49,50,49,50,49,50,49,50,49,49,49,49,49,50
"cort",50,49,50,50,49,50,50,50,50,49,49,50,50,49,50,49,50,49,50,49,50,50,50,51,50,49
"subcort",54,54,54,54,54,54,54,54,54,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"stem",24,20,22,5,19,20,20,21,4,46,24,22,20,19,15,17,16,22,45,20,17,20,21,22,19,20
"EA",47,47,44,44,45,48,39,45,34,32,47,44,38,37,42,47,44,37,42,36,40,46,34,47,45,46
"init_FM",45,46,45,43,44,47,46,43,42,42,48,45,47,46,45,44,45,46,43,44,46,44,43,44,43,48
"initWO",36,36,32,33,31,35,29,31,21,30,34,30,29,32,31,33,32,32,25,29,32,31,33,28,28,33
"initBB",37,41,40,37,37,38,38,39,30,39,36,35,36,40,32,39,37,36,36,39,37,37,41,36,32,42
