"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Hemorrhagic Stroke?",0.725658776442127,0.964118065269979,0.863573142739367,0.810597462759258,0.783766349177846,0.834506904677315,0.844493745789991,0.851419736479405,0.80449426965795,0.809380478762954,0.801858039035591,0.946102773167633,0.99742729672946,0.834724588230954,0.742246976965055,1.04161093537143,0.788935049834498,0.810247220092028,0.802062860609053,0.775282415926234,0.737652289712818,0.892849823976505,0.975170841858862,0.806027868308342,0.846342388818579,0.810717713426825,0.840910127721358,0.837689047736758,0.777977502358659,0.885984798783973,0.936255598777886,0.704206358660182,0.861018195381137,1.00704536495037,0.751790233569313,0.808773974579475,0.935381570632926,0.723848303289939,0.697158078760462,0.865145736701573,0.76049181695536,0.895915094156492,0.860194372636853,0.834513816823693,0.885908752192706,0.806691817572938,0.842681675330135,0.815848316858574,0.749324016542452,0.888876755604567,0.803303879120173,0.871383812652498,0.790705669078341,0.904104295304557,0.951574268027254,0.773359968703563,0.670285743929623,0.886027822174809,0.84353468845427,0.671129379018568,0.83218375471655,0.634207898927156,0.758706998479331,0.906952000364626,1.0420985403208,0.80513395244514,0.956398550453324,0.68176653961407,0.854832187296364,0.811631109643009,0.988816556672552,0.819661799417389,0.883293846058049,0.814614779836853,0.795329705368664,0.721160132825601,0.868446452270433,0.848342575136837,0.935297755590516,0.819709170362965,0.811913431588619,0.745247101427863,0.668628931945272,0.80347707586116,0.829018588584494,0.993987307985754,0.907684256964948,0.894844138008098,0.760851395878186,0.93620374979135,0.725186111211564,0.694295051825691,0.910125587199465,0.855624808179693,0.645401284862046,0.777230255097789,0.722325335876438,0.899335522482835,0.662859096739335,0.649554107219833
"Subcortical Stroke?",0.515326425711543,0.546465368086133,0.537993328149039,0.52965400193747,0.488812248071483,0.532585710880462,0.480297024768735,0.497364775366206,0.499150446738626,0.517600608981066,0.505281723619609,0.487301009683657,0.537172211463809,0.465718474113539,0.54095578651953,0.56980435987663,0.604492755316258,0.550645341050852,0.466338128620089,0.517985087183264,0.491450050076341,0.516684479359318,0.580227443211489,0.512201005744747,0.573290698289895,0.559035125637198,0.571028330526246,0.531729964663494,0.539401069521449,0.605171452145858,0.505476924645006,0.500178310864524,0.546630364460535,0.573112322062204,0.508696731871002,0.571329892350739,0.553853929901943,0.456473069419822,0.544887102002181,0.534697589478323,0.492799395416929,0.59004866602396,0.492685790285215,0.541971439504243,0.46647524357999,0.537619912661769,0.522497520417432,0.580035393545045,0.460699931450497,0.518485347703391,0.57827343868486,0.610174776734204,0.515345654774001,0.554983296307636,0.520350049341671,0.441349807177652,0.514403466582995,0.502171719775742,0.507340456642491,0.532646052871576,0.501846594343693,0.567116414229639,0.481067735717604,0.484402615316387,0.595426108052106,0.572967592720479,0.567227586770003,0.528319597175484,0.467614545391764,0.564685889515404,0.53251065874116,0.535817282359118,0.567424302821864,0.556062425415341,0.524386201128533,0.537376489787314,0.534448616066467,0.486947063237362,0.543400189425607,0.553089521866525,0.55197225500173,0.518955888258414,0.465082397101038,0.518562811922015,0.545055805822402,0.561341905808258,0.526233884601162,0.505954980751482,0.570772335392346,0.498474228010433,0.537610939937416,0.621134234890115,0.482218287039103,0.528757269306741,0.519111076090306,0.624709774669392,0.522520695793531,0.493330996696747,0.580989820353252,0.550705970300616
"Error-Augmentation Treatment?",0.427870848072425,0.456509831226119,0.417389603306005,0.43398826125599,0.4857763898877,0.409605644885324,0.462184899733008,0.452858162653637,0.414007019692754,0.441007666634444,0.470024195082213,0.425221801724005,0.431030446769529,0.428380680316095,0.424080037139822,0.387616292897855,0.419046493052561,0.430515504076239,0.43747198660783,0.44846649844092,0.440444521184378,0.413622337207221,0.405111062145027,0.431688504206381,0.422811693061117,0.445077981002726,0.398625874387385,0.426628927862476,0.40074607730622,0.43484362467095,0.43939061907879,0.450773960406627,0.403117964076433,0.422641659786463,0.452724577632809,0.414944063713735,0.460846037336565,0.473615193207039,0.462477792622732,0.423279129804665,0.477375254184391,0.417678675527604,0.389147740182924,0.399505866639625,0.441423795107468,0.471178238334014,0.363504661351612,0.445711526176835,0.409525089138891,0.419969617685448,0.439118844787079,0.379818115315884,0.434776539151485,0.459340553113408,0.464091612509471,0.475883837233246,0.432421078140248,0.491230745801463,0.480406818908501,0.430897991348805,0.431960905681967,0.414735885054226,0.394102776490638,0.37659787814809,0.412124072678092,0.454683865048311,0.429157535760107,0.43791799866924,0.428182426137492,0.404458711772455,0.501297269886382,0.41370255372607,0.462295494352936,0.409978800675672,0.405638116923345,0.427931945016022,0.413530685030066,0.431567047528145,0.430475934555682,0.42376770731728,0.38925299648187,0.434857436437542,0.422626170269173,0.448200499392924,0.432004919575446,0.455007401613316,0.435279227055438,0.417301871482571,0.46211448591582,0.413310719923141,0.456524121691473,0.432391816541857,0.410063223673924,0.428948758861652,0.42736303914464,0.399510612036612,0.454257452743539,0.417255555545973,0.431933804886071,0.481097569507834
"Cortical Stroke?",0.465339549879878,0.417708343711652,0.400759961192844,0.427365198130869,0.523635178906985,0.401890045647712,0.471786717208012,0.448651571097719,0.484936346829029,0.470917537846585,0.295168705072059,0.360754526688894,0.405449587478034,0.437622922724578,0.476630517731162,0.398072253300826,0.489846955998279,0.411291015018889,0.404504974037999,0.397973628633836,0.428825494719257,0.39054522416736,0.359865369433172,0.422035278577637,0.496790775697778,0.434783517366832,0.384538193642681,0.358654036031188,0.443868689136703,0.425430200835882,0.474356824611159,0.410625884728847,0.402496102358929,0.36888852877798,0.444202661471535,0.471811397066996,0.408362764911664,0.374599750211985,0.378153265103105,0.387496850384227,0.467685665673651,0.397945321302054,0.42696900785628,0.46377772672217,0.379139389837822,0.510608148753438,0.390369294410007,0.422760707676897,0.370096703226487,0.451377984047032,0.444104461250378,0.465583234892753,0.373092284833342,0.391494926367656,0.443649123848021,0.408240858396938,0.495854963913233,0.37073205342677,0.445607981412233,0.460672390144297,0.414073968576388,0.427437102587185,0.426378170080005,0.383630986460595,0.333000621963611,0.459435204418033,0.453014445233045,0.481078996758172,0.496953095923677,0.446562873112507,0.384199512723849,0.437043514023621,0.539122615127626,0.367188832945018,0.429511294650859,0.439435797667777,0.447570514753984,0.478228935057696,0.367655217725635,0.3988594072859,0.39947225140337,0.478682907128608,0.433721250279635,0.396140940446867,0.502757724867606,0.30975788749296,0.48174019453725,0.439154947391665,0.382449448368331,0.45994280994277,0.413954957657882,0.415159905238701,0.447939065610633,0.480141117212764,0.446407285716565,0.458314684392557,0.383719360330642,0.39173192359093,0.586977084011243,0.489600244794618
"Dominant Side Affected?",0.289290202634593,0.265146900467258,0.238252144848054,0.29477287445154,0.287811756245564,0.29851711993143,0.259377842992286,0.288536079061002,0.277781596437619,0.294490690252633,0.240674347415253,0.264048486345044,0.288718311460709,0.292377467826446,0.290526645108898,0.304515726075747,0.29057494157179,0.311057131770319,0.291251785494403,0.266582581568787,0.259221296738587,0.265820114583424,0.290529114424592,0.302396827974282,0.332339328496466,0.23569921379887,0.306273885967893,0.257408415214624,0.254352783989193,0.256981671061091,0.280323102382846,0.353958603155127,0.315590792406305,0.290059597174771,0.294945492414232,0.310444990749797,0.338560160733141,0.275196082255706,0.299618499765776,0.284356580418559,0.27849077797925,0.303369274279482,0.270160015476092,0.304259046306771,0.23724599498733,0.275492385428124,0.238397509977523,0.323917512175425,0.253753717240327,0.307481744061413,0.301381870148072,0.242725240983113,0.278727965633311,0.242901775313439,0.287018728626774,0.322062441811267,0.349446364788102,0.241223879440911,0.295556913171171,0.266643547685978,0.289979368652053,0.290259533834464,0.22504394168192,0.296464437792278,0.278530725708361,0.349900224917107,0.286429681841506,0.271580136776124,0.289310762234345,0.26615905655818,0.28170040358097,0.248407360516734,0.280898880534718,0.283822404068801,0.276160915762839,0.254016987105634,0.341013394942263,0.370793510004663,0.256275122321375,0.293841840494002,0.2698360653874,0.350683970365701,0.323505801654729,0.328842259770495,0.296207946705304,0.283639219524996,0.285352041588499,0.314846571714654,0.21502572243615,0.281225285489609,0.339125420934724,0.232731991877588,0.345041378304274,0.254036719229805,0.264873077908374,0.284557361239288,0.285205881768305,0.300683593168091,0.256570667017166,0.294960948138462
"Brainstem Stroke?",0.201805908233856,0.196587593750653,0.206468029079297,0.214135682026579,0.155499753169543,0.196692922611512,0.188628672082635,0.249870978481958,0.198567572060702,0.230578140421967,0.205002959634515,0.174023955354206,0.188961574594465,0.239340354921803,0.195120655389139,0.177605866386158,0.190065839104387,0.19147097521209,0.180762462127463,0.165687535291359,0.161903100005406,0.222315653908852,0.222845980013137,0.190470022039589,0.214112628806747,0.182477188605525,0.213820919077547,0.196905600192122,0.185060815683418,0.214206107229302,0.200961497185171,0.217091488911019,0.219821525503967,0.197069430415003,0.234397640028941,0.165251350073063,0.207434875300162,0.183489811210836,0.228164743389819,0.205743631883999,0.197244894565396,0.1808349190613,0.195978132257213,0.167766132416404,0.223705797383302,0.206504796092651,0.182861493573367,0.191570890595294,0.176081318864822,0.181695993794178,0.209610543078514,0.205724912543455,0.19930064295418,0.182463148173361,0.195239968017616,0.225813603716301,0.19745587383535,0.209339965545327,0.204719906501915,0.17880501416579,0.223909174047366,0.213096015067018,0.181805791182727,0.199673771642773,0.205932651323071,0.188497994628563,0.168874070241973,0.193005827595837,0.195120933226529,0.244012286564766,0.2159911004459,0.19454922002769,0.202720509590714,0.218935700605269,0.169742782275031,0.181359530999595,0.220866360839759,0.186356162108274,0.210450193981872,0.204579343848861,0.197510348397052,0.175814132582002,0.214961434766787,0.177315602339399,0.233338751096953,0.19592793367765,0.196260924890468,0.205789180952052,0.202883080413214,0.19153562674567,0.195937411635148,0.197551668005745,0.213166453690393,0.199747022506272,0.168351415255401,0.209493431479764,0.176909393523153,0.229644740108469,0.204781318584022,0.179124074545141
"Sex",0.163415071209042,0.146422152563896,0.126825814822798,0.220737379181277,0.170132995128988,0.125633753185023,0.171626362848297,0.209008585813962,0.185500768932889,0.205292663999797,0.159682958348011,0.176363312809216,0.207918096021434,0.221432142026505,0.140881389660095,0.192265410210099,0.129710411838187,0.156259840264492,0.149435615129291,0.169999991510756,0.163780329237342,0.177965391752263,0.17738516830471,0.190925729617965,0.124346631134622,0.163528295963437,0.207766366071138,0.162694472926615,0.14081390940219,0.171321342616178,0.123911009687651,0.148044486372216,0.150242768377593,0.239221026323297,0.144651172914347,0.187631695477801,0.209797155835605,0.196442525862179,0.201072578641433,0.181298460537731,0.181076357150205,0.205254051487237,0.148942342369314,0.157389240308206,0.153562337582244,0.175433217125006,0.185906253193645,0.182553389067945,0.129181835167633,0.135139216772326,0.149276562214305,0.148299907588954,0.199600051708074,0.180553455493014,0.19151653603635,0.184585976159213,0.161220057640413,0.162595262333535,0.161749745369699,0.180358112508948,0.20667097955254,0.13785710761921,0.170689945095619,0.202736510206792,0.195534791702028,0.165425977874282,0.155698984185048,0.175382491389914,0.176822667000846,0.161428316941261,0.184070213846796,0.157901502203173,0.198873387139452,0.160383898587529,0.172466637498472,0.16063852006842,0.138127774154847,0.172571146806243,0.187601010892736,0.201125472568445,0.138524962451879,0.200986153130883,0.157371513491323,0.177229972827235,0.186346827648712,0.204638364084969,0.18216933477201,0.17591780927535,0.18488316629349,0.148141157258872,0.174953301656709,0.163721093534373,0.136545247608901,0.178258500592946,0.176421022772673,0.184808227825802,0.227600763687506,0.119890400440208,0.208839120041016,0.179233688361434
